,name,date,rating,review,critic
34,marcelemedeiros,"Mar 19, 2021",10,"<span>lana del rey é tudo que a industria precisa para revolucionar a música. seus álbuns não possuem semelhanças pois todos são únicos, diferenciados e coesos de acordo com o momento da artista. é impressionante como ela vem se superando cada vez mais.</span>",Positive
35,ryanrodz,"Mar 19, 2021",10,"<span>Amazing, truly another great work by this artist of the decade and of the century</span>",Positive
36,Vitalinap,"Mar 19, 2021",10,<span>It's THE ART for me. I feel invited to her country club listening to her life stories. I feel very sorry for people who aren't feeling this album because it's a pure masterpiece.</span>,Positive
37,itsneitan,"Mar 19, 2021",10,"<span>This album it's a melody of the heaven, the track dark but just a game is the best of the album!!!</span>",Positive
38,Lflhhlfok,"Mar 19, 2021",10,"<span>One of her best albums, lyrically, melodically and emotionally. It's raw and deep</span>",Positive
39,alexrbertsx,"Mar 19, 2021",10,<span>this album is alternative-pop perfection. lana has outdone herself once again</span>,Positive
40,whoisgaby,"Mar 19, 2021",10,<span>I cannot explain the way I felt listening this masterpiece for the first time. Lana delivered to us a great album. Love Lana Forever.</span>,Positive
41,robertdlh,"Mar 19, 2021",10,<span>showing once again that her artistry is unmatched and that she is the best lyricist of our generation</span>,Positive
42,Vinis,"Mar 19, 2021",10,"<span>Seu maior acerto aqui, é não tentar fazer um 'novo NFR!'. Em Chemtrails Lana da um passo a mais e, apesar de mais contido que seu antecessor, Lana brilha igualmente nesse novo registro, sempre impecável, com voz e melodias que abraçam o ouvinte. Destaques para White Dress, Yosemite e a faixa título.</span>",Positive
43,anderlisboa,"Mar 19, 2021",10,"<span>Sinceramente, Lana del Rey se superou nesse álbum, por mais que eu acompanhe ela a 4 anos, esse foi o álbum que mais me surpreendeu!</span>",Positive
44,Zinedi,"Mar 19, 2021",10,Me encantaEs perfectoYa es de mis favoritos Es un excelente trabajoEs una joya,Positive
45,Victor1903,"Mar 19, 2021",10,"<span>Lana del rey presents us with a melancholic album, where we can see spectacular lyrics with those particular sounds of wool. I think that confirms that it is progressing, it is improving, with a concrete beginning With White Dress and a quiet closure with For Free. This album had my expectations high and met most of these</span>",Positive
46,Afonsy,"Mar 19, 2021",10,<span>a masterpiece!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!</span>,Positive
47,Brunopattersonp,"Mar 19, 2021",10,"<span>it's a soft hippie melody album. made me cry more than once.. as I listened to this my body trembled I felt love, depth, maturity, and a feeling of nostalgia the album is alternative and art at its maximum expression I will sing at full lungs a couple of these songs..</span>",Positive
48,augustasmsn,"Mar 19, 2021",10,"<span>although the standarts that NFR set were pretty high, i believe that they were fulfilled perfectly. the album is beautifully produced, the lyrics are deep, personal and healing. i feel that this record showcases her best and most advanced vocals yet! 10/10</span>",Positive
49,vitoti,"Mar 19, 2021",10,"<span>A Lana entregou TUDO nesse album! Certamente, AOTY! Uma das melhores compositoras da história!</span>",Positive
50,Sadbaby11,"Mar 19, 2021",10,"<span>Beautiful simphony, lyrics awesomes this álbum is only pure art by the princess of California ♥️</span>",Positive
51,theuxxxxxx,"Mar 19, 2021",10,"This album is totally perfect, the sound and evolution of the alternative / indie queen is totally remarkable since Norman **** Rocwkell",Positive
52,carolbetini,"Mar 19, 2021",10,"<span>mais um trabalho impecável de lana del rey, ela é muito artista sou apaixonada pelo trabalho dela</span>",Positive
53,gaveriel,"Mar 19, 2021",10,"Lana’s newest album that is concise in it’s sequencing, and diaristic in it’s writing. It’s also unafraid to look at the entirety of her life (up until this point), and write about it honestly. The content here is different in many ways, without sacrificing the subject matter she’s well-known for. More importantly, the perspective here is irrevocably altered. Lana’s sound here isn’t channeled or reflected by the waves on Venice Beach, or the hectic noise of a New York borough. Here, Lana’s poetry undulates over the Great Plains and America’s most famous national park. The record is informed by experiences stretching from Lana’s late teenaged years (when she first discovered her passion for music), to recent trips that have taken her to Oklahoma, Nebraska, and the like. These places and the freedom they offered from the grip of L.A.’s celebrity culture and it’s suffocating sunlight, are the inspirations behind Lana’s turn to more stripped-back, instrument-driven backing production. After several albums with lush, baroque Wall-of-Sound production, Lana seems to have lost her fascination with the associations such sound has with the circuses and decadence of Hollywood’s past. This seems to have inspired her return (partially) to the music that she made before her breakthrough. An eclectic, rock-ish band, clearly played live in studio, backs her voice on almost every track. The feedback frequently lingers for a few seconds after each song’s closings. Lana’s songwriting is still concerned with twisted love, being held captive by the fame machine that actively participated in the destruction of her idols, and her contemporaries. Her rumination isn’t limited to these ideas, as she sings about her connection to God, an insatiable hunger for experiencing new surroundings and people. She invites people to become part of her personal narrative on collaborative tracks, like the uncredited Nikki Lane on Breaking Up Slowly, and Zella Day with Weyes Blood on the ascendant Joni Mitchell cover, For Free. The perspective is entirely new on Chemtrails, even as she takes snippets of melody and lyrics from past work to rework and reinterpret in her present state of freedom. She delights in narrating this chapter of her life while acknowledging the darkness it took to get here in the first place. In fact, she respects and even gives thanks to the struggle, rather than pretend she’s too far past it to care. Ultimately, this record is about Lana returning to her roots after she accomplished everything she wanted as a young 20-something. Not to assure herself that it was all worth it, but to take the stories she doesn’t want to be left behind, and to bring them with her as she decides who to be. Without the exclusive Complex interviews, the award shows, or even the respect of the general public that characterized much of her interaction with the world up until a year ago. She celebrates her ability to escape the world that was on fire in NFR! , in the song Wild at Heart. The fire-and-brimstone of 2019 L.A. she wrote dirges about couldn’t my kill her. Wild at Heart samples the song How to disappear from her previous record, in which she relates her acceptance of the stifling setting of a city that was dying all around her. In Wild at Heart, the breakdown from How to disappear transforms the quiet Chemtrails track into a beautiful declaration of how she fled the paparazzi, the hell of endless summer, and the criticism of vicious strangers that could have very well been her end. She didn’t evaporate into the coastal heat at all. Lana chose to seek better pastures, and by extension, new inspiration for her art. If Chemtrails is the result, it was the best decision she’s ever made.",Positive
54,tulsalanafreak,"Mar 20, 2021",10,<span>Lana once again surprised me with her amazing songwriting skills and new sounds. The production on this album is very interesting in a good way. Lana deserves the world!</span>,Positive
55,Newroz,"Mar 19, 2021",10,Lana..is so artistic. I do not know what would be the right word to describe her craft/artistry. all I know is that it is about time to move on from Mariners Apartment Complex and follow the Chemtrails Over the Country Club what a queen goddess,Positive
56,gdelgen12,"Mar 19, 2021",10,<span>She improved her vocals so much!!! I’m proud of her</span>,Positive
57,HausOfBabylonia,"Mar 19, 2021",10,"Following the critically acclaimed NFR! with its roaring soundscapes and profound lyrics Chemtrails constitutes a new chapter in Lana Del Rey‘s catalog, setting the mood for her projects yet to come. She is ""Wild At Heart"" now and has left the tumultuous city L.A., and on her musical trip to the Midwest (noticeable by the enormous amount of acoustic guitar compared to prior albums) she gathers her closest family around herself. Escaping the West Coast, breaking up slowly with the woman that once drowned in the melancholy of Americana and hopeless romance she is on the move, and although she describes the album as a place of ""standing still"", songs like ""Not All Those Who Wander Are Lost“ remind us that she is on a mission: the muse of so many recent alternative songwriters is redefining and relocating herself musically as well as lyrically, but not without being reminiscent of her past self.Album opener ""White Dress"" may be THE highlight on the record and shows Del Rey vocally performing in a completely new way. Her voice close to breaking, she reincarnates the Lizzy Grant era: it seems that she is aware of the whole Del Rey timeline, who she was and who she is, but the question remains who she will be? We cannot guess at this point, but ""Dance Till We Die"" reminds us that we haven’t seen the last of her, and that Chemtrails is only the first chapter of a new era, a new departure on the way to her becoming a timeless classic and a junction of the culture.",Positive
58,NoeJimenez99,"Mar 19, 2021",10,<span>I love this </span>,Positive
59,luisgera640,"Mar 19, 2021",10,"<span>Probably her most authentic work to date. Its folky and country, but Lana is inspired by this specific genre of music, Americana. From White Dress, to Wild at Heart, to For Free, this album is perfection and will most likely will give Lana her fest Grammy win.</span>",Positive
60,Animadoria,"Mar 19, 2021",10,"<span>Great album. Great vocals, instrumentals, and the lyrics do not disappoint.</span>",Positive
61,RayAshes,"Mar 19, 2021",10,"<span>love her work on this album , especially that it feels you’re listening to all of her previous albums in one album I just can’t complement this album more it’s great and she DELIVERED.</span>",Positive
62,lanaczechr,"Mar 19, 2021",10,"<span>this is masterpiece! lana is the best artist of our generation. it was slightly different, but really beautiful!</span>",Positive
63,liborstukavec,"Mar 19, 2021",10,<span>chemtrails is an insanely beautiful album by our talented lana del rey! thank you for this:)</span>,Positive
64,xLuksssx,"Mar 19, 2021",10,<span>it's a good album with a lot of different songs. the lyrics are poetic as one would expect from Lana and the melodies are beautiful. I love it.<br/>One of her best albums</span>,Positive
65,santipullas,"Mar 19, 2021",10,"Un álbum que habla sobre la fama y sus consecuencias, Lana Del Rey ha madurado tanto en lírica como en producción. Excelente álbum.",Positive
66,Danau,"Mar 19, 2021",10,"<span>Omg. I like this album all song is favorite. Its better NFR, but nft too very beautiful</span>",Positive
67,Manuh1596,"Mar 19, 2021",10,<span>Every single song of this album is perfect and beautiful!!! I realy love it!!!!</span>,Positive
68,Gabrielbbb,"Mar 19, 2021",10,"<span>Um álbum maravilhoso e muito bem produzido e composto, ele migra e muda os estilos a cada música sem parecer bagunçado ou forçado é algo natural, perfeito.</span>",Positive
69,LuqmanSazali,"Mar 19, 2021",10,"This album make me feel so nostalgic and sexy at the same time it doesn’t make sense. I wished it had more songs like Tulsa Jesus Freak but I am not mad at all because all the other songs are perfect in their own way. Its without a doubt one of her most cohesive body of work. The entire album flows perfectly. I’ve been listening to the album since it came out and I still haven’t been able to choose a favorite but Tulsa Jesus Freak, White Dress and Yosemite is definitely top 3.",Positive
70,deivcouto,"Mar 19, 2021",10,"<span>chemtrails isn’t just an album, it’s an art form, a lifestyle, a religious study, some might even say a part time career. it’s the essence of the album that capture the beauty of lana; lana is the world and the world is lana</span>",Positive
71,Beactress,"Mar 19, 2021",10,<span>Fantástico. Obra prima atemporal. Lana Del Rey sempre segue se superando. Me orgulho de ser fã de uma das melhores artistas do século!</span>,Positive
72,gabescobar,"Mar 19, 2021",10,"<span>Lana presents us a new album, with romantic rhythms, mixed with county sounds, simply amazing, this album presents captivating melodies and only instrumentals, that hellport you to a new world. The songs have beautiful lyrics, with an extraordinary feeling, and with Lana's voice they seem like the songs of a siren.</span>",Positive
73,Jhonathandiaz,"Mar 19, 2021",10,"Madre del alternativo, nos trajo su nueva biblia, me encanta demasiado, lírica y estéticamente",Positive
74,Kuddy,"Mar 19, 2021",10,"<span>This is one of her best album, probably in her top 3 with UV and NFR.<br/>Each sound is a different genre and sound, different instruments and music make up.<br/>It's a very worthwhile and interesting listen - deserves the #1 spot in the UK and US.</span>",Positive
75,Davi_Angelo,"Mar 19, 2021",10,"<span>Este álbum está literalmente perfeito, eu amo a lana pois ela sempre sabe o que faz, álbum do ano sim.</span>",Positive
76,angrybibs,"Mar 19, 2021",10,"<span>Lana del Rey never disapont us.<br/>Yosemite is the most incredible song ever.<br/> <br/>Thaks lana for bring me back 1% of happiness in middle of the chaos</span>",Positive
77,bribridi,"Mar 19, 2021",10,"<span>The best of Lana Del Rey. She is the greatest artist of the decade and one of the biggest of the history. This album is just perfect! It made me feel with her and her friends in the country club. It's intimate, beautiful and organic. I can't wait for what lana's doing coming next... because she is truly her now.</span>",Positive
78,Kevwoolridge,"Mar 19, 2021",10,"COTCC tiene sonidos sensuales, melancólicos, alegres, me recuerda un poco a NFR ya que los sonidos de la banda y algunas letras me recuerdan a su antecesor, estoy encantado!! 10/1000",Positive
79,billnai,"Mar 19, 2021",10,"<span>the best 2021 album so far! it's perfect to listen and soooo good, I could listen to this album for the rest that I wouldn't complain.</span>",Positive
80,marcostrs,"Mar 19, 2021",10,"<span>it's an incredible album, I feel privileged to be able to listen, Lana del Rey is an amazing, insightful and talented artist, deserves aoty for this masterpiece she gave us, this album should be 100/100 for everyone</span>",Positive
81,PaulinaPolinius,"Mar 19, 2021",10,"<span>This album is something new, new breath. Lana is going further and yas, she made it!</span>",Positive
82,lanavx,"Mar 19, 2021",10,<span>lana sempre entregando trabalho de qualidade. este álbum esta simplesmente impecável!!!!!</span>,Positive
83,iconique-,"Mar 19, 2021",10,"<span>talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique, completely not ever been done before, unafraid to reference or not reference, put it in a blender, **** on it, vomit on it, eat it, give birth to it.</span>",Positive
84,Deny_Pope1,"Mar 19, 2021",10,"<span>Definitely the best album Elizabeth has ever made, it has completely innovated, the poetic lyrics, Jack and Lana make an incredible duo.  The best track is Tulsa Jesus Freak</span>",Positive
85,sickbxo,"Mar 19, 2021",10,"Essa álbum é muito perfeito, tem tudo pra ganhar o GrammyEu não consigo decidir qual é a melhor música do álbum, é muito difícil, me deixou sem palavras",Positive
86,llteusll,"Mar 19, 2021",10,"<span>Quando a gente acha que não pode vir um trabalho melhor... Boom! Chemtrails Over The Country Club, simplesmente perfeito do começo ao fim.</span>",Positive
87,TLIC,"Mar 19, 2021",10,"<span>every song is so f****ng perfect, the whole album it's a trip to a new whole world, the production sounds expensive and we don't have to talk about the lyrics, it's simply perfection.</span>",Positive
88,leodelreyz,"Mar 19, 2021",10,"<span>Perfect album! Lana was able to deliver everything we fans wanted, the vocals are perfect, everything is beautiful.</span>",Positive
89,puzzzywagon,"Mar 19, 2021",10,"<span>so beautiful and hardcore lana writing skills, you ⚠️AVISO</span>",Positive
90,ERIKMRZ,"Mar 19, 2021",10,"<span>magnifico, explendida, la lirica, melodias, minimalismo,sencillo, nostalgico, lana demuestra que cada vez se supera a si misma, su album mas alternativo por fin logra captar  esa esencia indie</span>",Positive
91,shrutia,"Mar 19, 2021",10,<span>This album is spectacular. Lana outdid herself once again. She cannot make a bad song.</span>,Positive
92,Br_,"Mar 19, 2021",10,"<span>Um álbum muito tranquilo e centrado que revela os fragmentos mais pessoas de Lana não apenas como artista, mas também como mulher.</span>",Positive
93,htriv,"Mar 19, 2021",10,"<span>incredible lyrics, beautiful harmonies, easily the best album I've heard in years</span>",Positive
94,darielisssc,"Mar 19, 2021",10,"<span>This is a masterpiece, it's different from the other albums but it's completely art</span>",Positive
95,AlexRiverLiu,"Mar 19, 2021",10,"Am American folk masterpiece with a unique indie-pop Beauty. Lana channel the own album in different style from its predecessor Norman **** Rockwell! But with our losing it’s grandiosity. Sure, it is a more personal and intimate experience for the audience but I think and have always been adhere to focus on the art work itself instead of focusing on the controversy and personal life of the artist which I consider as a profanity to the artwork. So as a audience who enjoy her music and insisted to stay away from her personal life. I genuinely enjoyed and enjoying the album and think most reviewers underscored the album.",Positive
96,Ipokik13,"Mar 19, 2021",10,"<span>Es el mejor álbum que a tenido Lana después de lust 4 life, agradezco a dios por tenerla con vida, agradezco a Instagram por sus fotos, agradezco a mi mano por las pajas, y que bendigan a la tuerca de la llanta del camión que llevo la cama a la casa de los abuelos para poder realizar el acto sexual y así puedan consevir a lana del rey, espero que gane grammy</span>",Positive
97,PabloR,"Mar 19, 2021",10,"OMG, Miss Lana has given us one of her best albums! Full album is absolutely gorgeous, she has improved her voice, now she’s singing like angels does in heaven! I truly love this album. Just a masterpiece. I’m hoping Album of the year nomination already! Love, Pablo",Positive
98,LMPozo,"Mar 19, 2021",10,"<span>Lana nos demuestra una vez más el gran talento que posee de crear hermosas liricas contando una historia profunda y romántica de su travesía por la fama y lo hace de una manera muy inteligente con melodías en su punto, que penetran el pecho y besan el corazón. Simplemente bellísimo.</span>",Positive
99,021mart,"Mar 19, 2021",10,"<span>Talented, Brilliant, Incredible, Amazing, Showstopping, Spectacular, Never The Same, Totally Unique, Completely Not Ever Been Done Before, Unafraid To Reference Or Not Reference, Put It In A Blender, **** On It, Vomit On It, Eat It, Give Birth To It. To queer is to challenge the normative, to cause confusion.</span>",Positive
100,LMPozo,"Mar 19, 2021",10,"<span>Lana nos demuestra una vez más el gran talento que posee de crear hermosas liricas contando una historia profunda y romántica de su travesía por la fama y lo hace de una manera muy inteligente con melodías en su punto, que penetran el pecho y besan el corazón. Simplemente bellísimo.</span>",Positive
101,021mart,"Mar 19, 2021",10,"<span>Talented, Brilliant, Incredible, Amazing, Showstopping, Spectacular, Never The Same, Totally Unique, Completely Not Ever Been Done Before, Unafraid To Reference Or Not Reference, Put It In A Blender, **** On It, Vomit On It, Eat It, Give Birth To It. To queer is to challenge the normative, to cause confusion.</span>",Positive
102,Rob0207,"Mar 19, 2021",10,"<span>A captivating, magically album that transports you into the world Lana has created. Not one bad song, an incredible peace of work.</span>",Positive
103,skquite,"Mar 20, 2021",10,<span>One of her most beautiful and personal works yet. It makes me feel nostalgic for past days but also hopeful for the future. I can't wait to see/hear what else Lana has coming for us!</span>,Positive
104,Darkwolf7,"Mar 20, 2021",10,El mejor álbum!! Su voz es increíble y supera su anterior álbum NFR. Todas sus canciones son increíbles y pegadizas.,Positive
105,forfree,"Mar 20, 2021",10,"<span>personal favorite of hers. Just so amazing, succeed at being melodic and experimental at the same time.</span>",Positive
106,Grantshadevb,"Mar 20, 2021",10,<span>The best álbum in the whole World ❤️</span>,Positive
107,ritaorababy,"Mar 19, 2021",10,"<span>talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique, completely not ever been done before, unafraid to reference or not reference, put it in a blender, **** on it, vomit on it, eat it, give birth to it.</span>",Positive
108,viniciussawate,"Mar 19, 2021",9,"<span>The sound bet here is again on delicacy. The tracks have sparse accompaniment, with piano, pedal steel and guitars with clean timbres appearing in the foreground in songs that, almost entirely, give up percussion, the drums, when they appear, almost always mark only time, making that the central focus on the melodies, lyrics and voice of Lana that sounds better with each album.</span>",Positive
109,Mert26,"Mar 19, 2021",10,"<span>I really like this album. I'm a fan of country/folk inspired music in general so this album was perfect for me. It's not the best album of Lana but not the worst either. Can't wait for summer, so I can listen to it and feel like a candle on a ranch.</span>",Positive
110,reygon,"Mar 19, 2021",10,<span>Another amazing body of work. Lana always delivers. This album is amazing on vinyl as well.</span>,Positive
111,emersonpfvr,"Mar 19, 2021",10,<span>perfect. lana is the most powerful songwriter of our generation. i love it so so bad x</span>,Positive
112,nmueluzua11,"Mar 19, 2021",10,<span>I loved the album especially Tulsa Jesus Freak and White Dress they are all just sooo good!!</span>,Positive
113,Well674,"Mar 19, 2021",10,"<span>A great album, Lana has come a long way and this is actual talent that she has served, I love each and every single song on the album. If you haven't listened to it, I 100% recommend it, do it when you feel lonely it hits harder!</span>",Positive
117,Alexsmile,"Mar 19, 2021",10,"<span>Lana is back and she's cooler than ever. While this album doesn't top NFR it's still very much up there with it as one of her best. The folky, witchy vibe and the vulnerability on these songs are STUNNING.</span>",Positive
128,angelgreen,"Mar 19, 2021",10,"her singing gets to new highs and its amazing. unique songwriter, the best alternative artist of the generation",Positive
129,stupidspice,"Mar 20, 2021",10,"<span>Beautiful as always. Lana is best when she is being completely del rey! It’s heartbreaking, wistful, erratic, yet manages to linger on a sense of hope that lasts.</span>",Positive
130,Lanalover777,"Mar 19, 2021",10,<span>anytime she decides come back with new music - it will always be at right time. she's endless. hell yes</span>,Positive
131,Lauranossa,"Mar 19, 2021",10,"<span>Is a masterpiece, glamour, smart and absolutely beautiful ¡Is a god! This work makes me feel like a God</span>",Positive
134,Jameswclayton,"Mar 19, 2021",10,"<span>Amazing album that mixes the old Lana we know and love with a fresher, more intimate style of music. SHE IS THE MOMENT</span>",Positive
135,Albertnostalgia,"Mar 19, 2021",10,<span>El álbum es muy bueno en cuanto a líricas y sonidos. Realmente vale la pena escucharlo. Es algo diferente a los demás trabajos y mus hermoso.</span>,Positive
137,nabarbara,"Mar 19, 2021",10,<span>Wonderful. Amazing. Perfect. Miraculous. Portentuos. Prodigious. Marvellous.</span>,Positive
138,CTEFAHNR,"Mar 19, 2021",10,<span>eu te amo lana del rey EU TE AMO VOCÊ EH MARAVILHJOSA EU CASARIA COM VOCE ISSO TA PERFEITO EU AMO VOCE</span>,Positive
140,Nicolascuenca69,"Mar 19, 2021",10,"<span>Me encanta su melodía y conexión con cada una de sus canciones de sus anteriores trabajos, felicito su armonía melancólica y su transparencia vocal finalizando con un tono oscuro en cara segundo de este trabajo tan maravilloso</span>",Positive
150,analuizaagb,"Mar 19, 2021",10,"Wonderfully harmonious, completely unlike anything Lana Del Rey has ever done! An iconic and spectacular album",Positive
153,livingintheh,"Mar 19, 2021",10,<span>Why is this album so poggers??? Brooo I listen to this when I go to the gym to work out. So good.</span>,Positive
154,Bryanaleman,"Mar 19, 2021",10,"<span>This album is wonderful, it has melodies worthy of an excellent rating, since its quality is presided over, when listening to it it envelops you in its maximum splendor, leaving you with a desire for more.<br/>I would like to live in it, Lana I congratulate you, you have created my salvation from this dark world.</span>",Positive
155,AndressaMachado,"Mar 19, 2021",10,"<span>PERFECT, lana del rey is queen of music, in extasy for the album, love you Lana</span>",Positive
156,letxxx,"Mar 19, 2021",10,perfect album LANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMINGLANA IS COMING,Positive
160,Aligciac,"Mar 19, 2021",10,"<span>One of the best albums of 2021, Lana deserves to be recognized with this, I Love her</span>",Positive
165,iguusurtado,"Mar 19, 2021",10,"adorei, álbum ótimo, pisou nos haters dela. essa mulher faz tudo. esperando ela errar, ops nunca aconteceu. a vocês que não gostam dela irei caçar vcs no inferno. três beijos e quatro socos",Positive
166,mattzm0,"Mar 19, 2021",10,<span>Such a good album. Lana is always giving what we want! I felt kind a Ultraviolence and NFR vibes on it.</span>,Positive
167,ygormend,"Mar 19, 2021",10,"<span>mais uma vez a Lana deu o nome dela fazendo uma obra impecável, nunca decepcionando com nenhum trabalho.</span>",Positive
168,leooJ,"Mar 19, 2021",10,<span>Love it es increíble este album mostrando un lado diferente de esta gran artista no deja nada que desear</span>,Positive
169,Itsestevao,"Mar 19, 2021",10,"<span>This album it’s a masterpiece. Lana Del Rey singing poetry, it’s fantastic, I can’t stop crying.</span>",Positive
